t,consumo,produzione
2025-10-01 03:10:30,116,0
2025-10-01 03:11:30,116,0
2025-10-01 03:12:30,116,0
2025-10-01 03:13:30,116,0
2025-10-01 03:14:31,115,0
2025-10-01 03:15:30,115,0
2025-10-01 03:16:30,115,0
2025-10-01 03:17:30,114,0
2025-10-01 03:18:30,115,0
2025-10-01 03:19:31,114,0
2025-10-01 03:20:30,114,0
2025-10-01 03:21:30,115,0
2025-10-01 03:22:30,115,0
2025-10-01 03:23:30,105,0
2025-10-01 03:24:30,125,0
2025-10-01 03:25:31,238,0
2025-10-01 03:26:30,238,0
2025-10-01 03:27:30,237,0
2025-10-01 03:28:30,244,0
2025-10-01 03:29:30,236,0
2025-10-01 03:30:30,235,0
2025-10-01 03:31:31,236,0
2025-10-01 03:32:30,236,0
2025-10-01 03:33:30,235,0
2025-10-01 03:34:30,235,0
2025-10-01 03:35:30,235,0
2025-10-01 03:36:31,235,0
2025-10-01 03:37:30,238,0
2025-10-01 03:38:30,236,0
2025-10-01 03:39:30,236,0
2025-10-01 03:40:30,236,0
2025-10-01 03:41:30,222,0
2025-10-01 03:42:31,81,0
2025-10-01 03:43:30,82,0
2025-10-01 03:44:30,83,0
2025-10-01 03:45:30,115,0
2025-10-01 03:46:30,113,0
2025-10-01 03:47:31,115,0
2025-10-01 03:48:30,115,0
2025-10-01 03:49:30,115,0
2025-10-01 03:50:30,115,0
2025-10-01 03:51:30,116,0
2025-10-01 03:52:31,116,0
2025-10-01 03:53:30,116,0
2025-10-01 03:54:30,116,0
2025-10-01 03:55:30,124,0
2025-10-01 03:56:30,122,0
2025-10-01 03:57:31,122,0
2025-10-01 03:58:30,123,0
2025-10-01 03:59:30,122,0
2025-10-01 04:00:30,122,0
2025-10-01 04:01:30,122,0
2025-10-01 04:02:31,122,0
2025-10-01 04:03:30,121,0
2025-10-01 04:04:30,121,0
2025-10-01 04:05:30,121,0
2025-10-01 04:06:31,121,0
2025-10-01 04:07:30,121,0
2025-10-01 04:08:30,120,0
2025-10-01 04:09:30,119,0
2025-10-01 04:10:30,120,0
2025-10-01 04:11:30,119,0
2025-10-01 04:12:31,119,0
2025-10-01 04:13:30,119,0
2025-10-01 04:14:30,118,0
2025-10-01 04:15:30,118,0
2025-10-01 04:16:30,119,0
2025-10-01 04:17:31,117,0
2025-10-01 04:18:30,116,0
2025-10-01 04:19:30,117,0
2025-10-01 04:20:30,118,0
2025-10-01 04:21:30,120,0
2025-10-01 04:22:30,123,0
2025-10-01 04:23:31,119,0
2025-10-01 04:24:30,120,0
2025-10-01 04:25:30,119,0
2025-10-01 04:26:30,119,0
2025-10-01 04:27:30,119,0
2025-10-01 04:28:31,127,0
2025-10-01 04:29:30,121,0
2025-10-01 04:30:30,121,0
2025-10-01 04:31:30,121,0
2025-10-01 04:32:30,121,0
2025-10-01 04:33:30,118,0
2025-10-01 04:34:31,117,0
2025-10-01 04:35:30,117,0
2025-10-01 04:36:30,117,0
2025-10-01 04:37:30,116,0
2025-10-01 04:38:31,116,0
2025-10-01 04:39:30,116,0
2025-10-01 04:40:30,116,0
2025-10-01 04:41:30,116,0
2025-10-01 04:42:30,116,0
2025-10-01 04:43:31,116,0
2025-10-01 04:44:30,119,0
2025-10-01 04:45:30,121,0
2025-10-01 04:46:30,119,0
2025-10-01 04:47:30,121,0
2025-10-01 04:48:30,119,0
2025-10-01 04:49:31,118,0
2025-10-01 04:50:30,119,0
2025-10-01 04:51:30,120,0
2025-10-01 04:52:30,118,0
2025-10-01 04:53:31,117,0
2025-10-01 04:54:30,118,0
2025-10-01 04:55:30,117,0
2025-10-01 04:56:30,112,0
2025-10-01 04:57:30,79,0
2025-10-01 04:58:30,79,0
2025-10-01 04:59:31,79,0
2025-10-01 05:00:30,79,0
2025-10-01 05:01:30,80,0
2025-10-01 05:02:30,79,0
2025-10-01 05:03:30,79,0
2025-10-01 05:04:31,79,0
2025-10-01 05:05:30,79,0
2025-10-01 05:06:30,82,0
2025-10-01 05:07:30,80,0
2025-10-01 05:08:30,80,0
2025-10-01 05:09:31,80,0
2025-10-01 05:10:30,80,0
2025-10-01 05:11:30,80,0
2025-10-01 05:12:30,80,0
2025-10-01 05:13:30,80,0
2025-10-01 05:14:30,80,0
2025-10-01 05:15:31,80,0
2025-10-01 05:16:30,80,0
2025-10-01 05:17:30,81,0
2025-10-01 05:18:30,80,0
2025-10-01 05:19:30,79,0
2025-10-01 05:20:31,79,0
2025-10-01 05:21:30,79,0
2025-10-01 05:22:30,79,0
2025-10-01 05:23:30,79,0
2025-10-01 05:24:30,79,0
2025-10-01 05:25:30,79,0
2025-10-01 05:26:31,79,0
2025-10-01 05:27:30,79,0
2025-10-01 05:28:30,86,0
2025-10-01 05:29:30,79,0
2025-10-01 05:30:30,118,0
2025-10-01 05:31:31,114,0
2025-10-01 05:32:30,116,0
2025-10-01 05:33:30,117,0
2025-10-01 05:34:30,118,0
2025-10-01 05:35:30,116,0
2025-10-01 05:36:31,118,0
2025-10-01 05:37:30,118,0
2025-10-01 05:38:30,117,0
2025-10-01 05:39:30,117,0
2025-10-01 05:40:30,117,0
2025-10-01 05:41:31,116,0
2025-10-01 05:42:30,116,0
2025-10-01 05:43:30,116,0
2025-10-01 05:44:30,116,0
2025-10-01 05:45:30,115,0
2025-10-01 05:46:31,113,0
2025-10-01 05:47:30,113,0
2025-10-01 05:48:30,113,0
2025-10-01 05:49:30,115,0
2025-10-01 05:50:30,113,0
2025-10-01 05:51:30,112,0
2025-10-01 05:52:31,112,0
2025-10-01 05:53:30,112,0
2025-10-01 05:54:30,112,0
2025-10-01 05:55:30,112,0
2025-10-01 05:56:30,112,0
2025-10-01 05:57:31,111,0
2025-10-01 05:58:30,111,0
2025-10-01 05:59:30,112,0
2025-10-01 06:00:30,88,0
2025-10-01 06:01:30,81,0
2025-10-01 06:02:31,78,0
2025-10-01 06:03:30,79,0
2025-10-01 06:04:30,78,0
2025-10-01 06:05:30,77,0
2025-10-01 06:06:31,79,0
2025-10-01 06:07:30,78,0
2025-10-01 06:08:30,77,0
2025-10-01 06:09:30,77,0
2025-10-01 06:10:30,77,0
2025-10-01 06:11:30,77,0
2025-10-01 06:12:31,77,0
2025-10-01 06:13:30,77,0
2025-10-01 06:14:30,78,0
2025-10-01 06:15:30,77,0
2025-10-01 06:16:31,77,0
2025-10-01 06:17:30,77,0
2025-10-01 06:18:30,79,0
2025-10-01 06:19:30,78,0
2025-10-01 06:20:30,79,0
2025-10-01 06:21:30,77,0
2025-10-01 06:22:31,77,0
2025-10-01 06:23:30,77,0
2025-10-01 06:24:30,77,0
2025-10-01 06:25:30,77,0
2025-10-01 06:26:30,77,0
2025-10-01 06:27:31,82,0
2025-10-01 06:28:30,209,0
2025-10-01 06:29:30,260,0
2025-10-01 06:30:30,201,0
2025-10-01 06:31:30,188,0
2025-10-01 06:32:31,193,0
2025-10-01 06:33:30,192,0
2025-10-01 06:34:30,200,0
2025-10-01 06:35:30,202,0
2025-10-01 06:36:30,218,0
2025-10-01 06:37:31,208,0
2025-10-01 06:38:30,334,0
2025-10-01 06:39:30,1652,0
2025-10-01 06:40:30,739,0
2025-10-01 06:41:30,795,0
2025-10-01 06:42:30,793,0
2025-10-01 06:43:31,433,0
2025-10-01 06:44:30,263,0
2025-10-01 06:45:30,392,0
2025-10-01 06:46:30,206,0
2025-10-01 06:47:30,191,0
2025-10-01 06:48:31,215,0
2025-10-01 06:49:30,356,0
2025-10-01 06:50:30,244,0
2025-10-01 06:51:30,219,0
2025-10-01 06:52:30,197,0
2025-10-01 06:53:30,236,0
2025-10-01 06:54:31,300,0
2025-10-01 06:55:30,247,0
2025-10-01 06:56:30,238,0
2025-10-01 06:57:30,326,0
2025-10-01 06:58:30,334,0
2025-10-01 06:59:31,311,0
2025-10-01 07:00:30,226,0
2025-10-01 07:01:30,317,0
2025-10-01 07:02:30,316,0
2025-10-01 07:03:31,293,0
2025-10-01 07:04:30,177,0
2025-10-01 07:05:30,175,0
2025-10-01 07:06:30,214,0
2025-10-01 07:07:30,256,0
2025-10-01 07:08:30,251,0
2025-10-01 07:09:31,282,0
2025-10-01 07:10:30,304,0
2025-10-01 07:11:30,190,0
2025-10-01 07:12:30,222,0
2025-10-01 07:13:30,274,0
2025-10-01 07:14:31,371,0
2025-10-01 07:15:30,413,0
2025-10-01 07:16:30,269,0
2025-10-01 07:17:30,247,0
2025-10-01 07:18:30,254,0
2025-10-01 07:19:31,216,0
2025-10-01 07:20:30,208,0
2025-10-01 07:21:30,256,0
2025-10-01 07:22:30,199,0
2025-10-01 07:23:30,204,0
2025-10-01 07:24:31,206,0
2025-10-01 07:25:30,205,0
2025-10-01 07:26:30,205,0
2025-10-01 07:27:30,205,0
2025-10-01 07:28:30,225,0
2025-10-01 07:29:31,317,0
2025-10-01 07:30:30,343,0
2025-10-01 07:31:30,1197,0
2025-10-01 07:32:30,484,0
2025-10-01 07:33:30,266,0
2025-10-01 07:34:31,263,0
2025-10-01 07:35:30,545,0
2025-10-01 07:36:30,155,0
2025-10-01 07:37:31,146,0
2025-10-01 07:38:30,359,0
2025-10-01 07:39:30,144,0
2025-10-01 07:40:30,144,0
2025-10-01 07:41:30,144,0
2025-10-01 07:42:31,137,0
2025-10-01 07:43:30,121,0
2025-10-01 07:44:30,121,0
2025-10-01 07:45:30,95,1
2025-10-01 07:46:30,77,0
2025-10-01 07:47:31,68,0
2025-10-01 07:48:30,133,0
2025-10-01 07:49:30,164,0
2025-10-01 07:50:30,152,2
2025-10-01 07:51:30,70,0
2025-10-01 07:52:31,70,0
2025-10-01 07:53:30,70,2
2025-10-01 07:54:30,70,8
2025-10-01 07:55:30,70,13
2025-10-01 07:56:30,70,17
2025-10-01 07:57:31,70,20
2025-10-01 07:58:30,70,26
2025-10-01 07:59:30,68,37
2025-10-01 08:00:30,68,52
2025-10-01 08:01:31,68,62
2025-10-01 08:02:30,65,64
2025-10-01 08:03:30,68,71
2025-10-01 08:04:30,68,73
2025-10-01 08:05:30,66,76
2025-10-01 08:06:31,65,76
2025-10-01 08:07:30,65,76
2025-10-01 08:08:30,66,76
2025-10-01 08:09:30,65,75
2025-10-01 08:10:30,101,78
2025-10-01 08:11:31,99,80
2025-10-01 08:12:30,101,79
2025-10-01 08:13:30,103,71
2025-10-01 08:14:30,103,65
2025-10-01 08:15:31,104,67
2025-10-01 08:16:30,104,64
2025-10-01 08:17:30,104,62
2025-10-01 08:18:30,104,65
2025-10-01 08:19:30,104,70
2025-10-01 08:20:31,104,82
2025-10-01 08:21:30,103,89
2025-10-01 08:22:30,103,100
2025-10-01 08:23:30,103,103
2025-10-01 08:24:30,103,106
2025-10-01 08:25:31,103,115
2025-10-01 08:26:30,103,130
2025-10-01 08:27:30,101,146
2025-10-01 08:28:30,100,160
2025-10-01 08:29:30,101,181
2025-10-01 08:30:31,102,199
2025-10-01 08:31:30,100,199
2025-10-01 08:32:30,101,191
2025-10-01 08:33:30,100,197
2025-10-01 08:34:31,100,195
2025-10-01 08:35:30,100,191
2025-10-01 08:36:30,100,180
2025-10-01 08:37:30,100,186
2025-10-01 08:38:30,100,208
2025-10-01 08:39:31,100,216
2025-10-01 08:40:30,99,216
2025-10-01 08:41:30,98,214
2025-10-01 08:42:30,98,221
2025-10-01 08:43:30,80,250
2025-10-01 08:44:31,67,301
2025-10-01 08:45:30,67,370
2025-10-01 08:46:30,67,403
2025-10-01 08:47:30,67,401
2025-10-01 08:48:30,67,439
2025-10-01 08:49:31,69,514
2025-10-01 08:50:30,74,518
2025-10-01 08:51:30,67,494
2025-10-01 08:52:30,67,489
2025-10-01 08:53:31,67,464
2025-10-01 08:54:30,67,431
2025-10-01 08:55:30,67,425
2025-10-01 08:56:30,67,433
2025-10-01 08:57:30,67,441
2025-10-01 08:58:31,67,436
2025-10-01 08:59:30,67,400
2025-10-01 09:00:30,67,337
2025-10-01 09:01:31,67,292
2025-10-01 09:02:30,67,298
2025-10-01 09:03:30,67,332
2025-10-01 09:04:30,67,372
2025-10-01 09:05:30,68,409
2025-10-01 09:06:31,67,433
2025-10-01 09:07:30,67,423
2025-10-01 09:08:30,67,411
2025-10-01 09:09:30,67,418
2025-10-01 09:10:30,74,443
2025-10-01 09:11:30,89,466
2025-10-01 09:12:31,92,479
2025-10-01 09:13:30,128,505
2025-10-01 09:14:30,145,525
2025-10-01 09:15:30,176,541
2025-10-01 09:16:30,185,558
2025-10-01 09:17:31,839,564
2025-10-01 09:18:30,2203,557
2025-10-01 09:19:30,2206,543
2025-10-01 09:20:30,2197,531
2025-10-01 09:21:30,2180,518
2025-10-01 09:22:31,2160,501
2025-10-01 09:23:30,2168,477
2025-10-01 09:24:30,2197,459
2025-10-01 09:25:31,2189,442
2025-10-01 09:26:30,2197,424
2025-10-01 09:27:30,2161,405
2025-10-01 09:28:30,1018,385
2025-10-01 09:29:31,218,379
2025-10-01 09:30:30,224,371
2025-10-01 09:31:30,226,383
2025-10-01 09:32:30,179,396
2025-10-01 09:33:30,184,392
2025-10-01 09:34:31,187,395
2025-10-01 09:35:30,223,398
2025-10-01 09:36:30,223,406
2025-10-01 09:37:30,209,397
2025-10-01 09:38:30,183,373
2025-10-01 09:39:31,185,333
2025-10-01 09:40:30,199,307
2025-10-01 09:41:30,215,286
2025-10-01 09:42:30,217,265
2025-10-01 09:43:30,209,243
2025-10-01 09:44:31,182,214
2025-10-01 09:45:30,169,189
2025-10-01 09:46:30,209,177
2025-10-01 09:47:30,220,169
2025-10-01 09:48:30,201,157
2025-10-01 09:49:30,170,143
2025-10-01 09:50:31,152,125
2025-10-01 09:51:30,145,109
2025-10-01 09:52:30,193,97
2025-10-01 09:53:30,192,88
2025-10-01 09:54:31,184,92
2025-10-01 09:55:30,166,97
2025-10-01 09:56:30,145,97
2025-10-01 09:57:30,163,102
2025-10-01 09:58:30,151,113
2025-10-01 09:59:30,113,134
2025-10-01 10:00:31,117,182
2025-10-01 10:01:30,115,269
2025-10-01 10:02:30,154,382
2025-10-01 10:03:30,193,464
2025-10-01 10:04:30,233,489
2025-10-01 10:05:31,226,472
2025-10-01 10:06:30,75,449
2025-10-01 10:07:30,112,425
2025-10-01 10:08:30,167,402
2025-10-01 10:09:30,228,390
2025-10-01 10:10:30,244,394
2025-10-01 10:11:31,242,394
2025-10-01 10:12:30,242,386
2025-10-01 10:13:30,247,380
2025-10-01 10:14:30,244,379
2025-10-01 10:15:30,176,379
2025-10-01 10:16:31,113,376
2025-10-01 10:17:30,124,358
2025-10-01 10:18:30,148,301
2025-10-01 10:19:30,190,209
2025-10-01 10:20:30,264,134
2025-10-01 10:21:31,164,96
2025-10-01 10:22:30,84,77
2025-10-01 10:23:30,127,70
2025-10-01 10:24:30,219,69
2025-10-01 10:25:30,277,72
2025-10-01 10:26:31,280,69
2025-10-01 10:27:30,279,70
2025-10-01 10:28:30,285,79
2025-10-01 10:29:30,284,96
2025-10-01 10:30:30,289,114
2025-10-01 10:31:31,170,133
2025-10-01 10:32:30,279,146
2025-10-01 10:33:30,299,148
2025-10-01 10:34:30,167,143
2025-10-01 10:35:30,151,141
2025-10-01 10:36:31,155,139
2025-10-01 10:37:30,160,134
2025-10-01 10:38:30,176,140
2025-10-01 10:39:30,218,154
2025-10-01 10:40:30,283,172
2025-10-01 10:41:30,196,194
2025-10-01 10:42:31,115,220
2025-10-01 10:43:30,155,243
2025-10-01 10:44:30,191,278
2025-10-01 10:45:30,239,339
2025-10-01 10:46:30,241,401
2025-10-01 10:47:31,236,445
2025-10-01 10:48:30,240,534
2025-10-01 10:49:30,242,736
2025-10-01 10:50:30,212,845
2025-10-01 10:51:30,163,758
